Age,Income,Loan_Amount,Credit_Score,Employment_Type,Loan_Approved
59,77761,417505,337,Salaried,0
49,141178,328226,487,Salaried,0
35,56368,312805,356,Self-Employed,0
28,26783,218484,319,Salaried,0
41,131530,315064,572,Self-Employed,0
59,61914,295378,418,Self-Employed,0
39,90507,391705,882,Salaried,1
43,147738,321090,815,Self-Employed,1
31,99026,275314,520,Self-Employed,0
31,135893,488716,825,Salaried,1
44,131255,285612,814,Salaried,1
56,130616,328453,635,Salaried,0
44,87526,105230,354,Salaried,0
23,90835,423966,799,Unemployed,1
42,65765,473243,835,,0
22,39956,424484,461,Self-Employed,0
44,107895,109321,893,Salaried,1
50,66240,182028,458,,0
58,141008,281447,487,Unemployed,0
22,57148,386275,359,Self-Employed,0
41,114270,491124,618,Salaried,0
53,147978,338107,510,Salaried,0
32,24757,151757,705,,0
42,39097,482659,408,Salaried,0
45,30395,411403,375,Self-Employed,0
47,36241,351207,841,Salaried,0
48,123892,426369,613,Salaried,0
36,47696,428544,416,Salaried,0
35,135654,392962,318,Unemployed,0
23,90480,316847,731,Unemployed,0
57,66163,246200,649,Salaried,0
27,39816,122099,482,Self-Employed,0
41,69840,469065,412,Salaried,0
29,122547,212932,482,Salaried,0
59,72853,81585,780,Self-Employed,1
38,44917,465231,445,Unemployed,0
24,116731,93585,412,Unemployed,1
45,41566,339102,775,Self-Employed,0
34,95452,338161,602,Salaried,0
29,82823,436821,417,Self-Employed,1
46,141392,488566,460,Salaried,1
22,40806,455417,700,Self-Employed,0
40,95520,341570,497,Salaried,0
48,21759,329922,559,Self-Employed,0
27,146092,226313,346,Salaried,0
28,61949,92229,698,Salaried,1
55,112374,136652,858,Unemployed,0
34,22482,440411,377,Salaried,0
37,44442,299474,423,Self-Employed,1
56,53719,229436,374,,0
24,78066,438647,436,Salaried,0
22,113501,310116,699,Salaried,1
26,22079,397022,804,Salaried,0
24,22717,369200,799,Unemployed,0
49,79676,470706,872,Salaried,1
38,47952,69975,437,Unemployed,0
46,106444,207795,349,Self-Employed,1
54,62460,466495,553,Salaried,0
30,110397,259373,862,Self-Employed,1
56,,454777,725,,1
34,113607,247133,846,Self-Employed,0
51,109106,400541,601,Salaried,1
35,38449,230225,880,Salaried,0
28,53536,345286,648,Unemployed,0
34,84077,339060,348,Unemployed,0
43,58258,114324,373,Unemployed,0
41,68302,226037,560,Salaried,0
36,145937,438076,655,Self-Employed,1
38,48865,185720,881,Salaried,0
44,26645,216205,559,Salaried,0
46,139771,493893,594,Salaried,0
45,58000,146059,612,Self-Employed,0
49,46737,148317,481,Salaried,0
35,31485,251207,663,Salaried,0
21,58565,347190,487,Unemployed,0
45,45522,490280,868,Salaried,0
27,139614,151459,842,Salaried,1
29,85155,287697,895,Salaried,1
44,75168,250422,847,Unemployed,0
21,72487,358037,707,Self-Employed,1
28,149948,151520,713,Salaried,0
44,32342,437962,641,Unemployed,0
31,60806,111272,519,Unemployed,0
37,68770,273224,462,Salaried,0
28,98623,379793,519,Self-Employed,0
55,123177,376818,569,,0
55,119785,194832,699,Self-Employed,1
53,95629,202999,481,Salaried,0
25,140993,398619,504,Unemployed,0
59,72603,111367,881,Self-Employed,1
48,,279027,855,Salaried,0
27,132726,455804,527,Salaried,0
29,101974,433894,895,Salaried,1
28,125947,282750,549,Salaried,0
32,46399,285806,740,Self-Employed,0
54,148177,430298,832,Salaried,1
53,105382,233305,495,Salaried,1
43,101244,94738,818,Self-Employed,1
44,129575,83397,369,Salaried,0
57,135520,394333,698,Unemployed,1
55,130904,388511,502,Salaried,0
42,,252332,447,Salaried,0
47,75106,432729,771,Salaried,1
55,132599,388763,498,,0
21,50678,161453,725,Salaried,0
55,96218,69816,791,Self-Employed,1
57,83230,485456,441,Unemployed,0
34,134684,449492,612,Salaried,0
23,94055,295011,464,Self-Employed,0
21,76373,391674,613,Self-Employed,0
25,51480,466715,320,Unemployed,0
46,105230,421000,381,Salaried,0
34,88836,263567,880,Salaried,1
59,92258,121635,430,Salaried,1
47,59986,419947,898,Self-Employed,0
29,44160,266184,604,Unemployed,0
35,105595,348090,670,Salaried,1
35,121358,367348,683,Salaried,1
46,99111,232958,744,Unemployed,0
33,84929,327707,724,Unemployed,1
52,93506,142324,460,Unemployed,0
59,54911,273536,477,Self-Employed,0
52,107127,282944,789,Salaried,1
24,51821,321991,626,Self-Employed,0
50,95039,76155,897,Self-Employed,1
57,80535,391815,588,Salaried,1
43,133453,166891,892,Self-Employed,1
59,104458,395454,872,Self-Employed,1
35,32175,199381,872,Salaried,0
49,139235,181691,653,Self-Employed,1
56,74771,493324,327,Self-Employed,0
33,126660,84707,342,Unemployed,0
52,,463553,722,Salaried,1
27,141300,393681,897,Salaried,1
42,106925,247576,476,Self-Employed,0
